title_english,title_alutiiq,credit,audio,video,script,script_english_words,script_alutiiq_words,traditional,notes
Louse,Nerest,Jeff Leer,http://www.alutiiqlanguage.org/files/lessons/Songs/Neresta.mp3,https://vimeo.com/109844215,http://www.alutiiqlanguage.org/files/lessons/Songs/Neresta.pdf,,,TRUE,
The Wise Men,Puqisqat,Jeff Leer,http://www.alutiiqlanguage.org/files/Songs/01%20Puqisqat_Denis_and_Sophie_2011.mp3,,http://www.alutiiqlanguage.org/files/Songs/Puqisqat.pdf,,,TRUE,
These Schooners,Ukut Skuunat,"Mary Peterson, Jennie Zeeder",http://www.alutiiqlanguage.org/files/lessons/Songs/UkutSkuunat.mp3,,http://www.alutiiqlanguage.org/files/lessons/Songs/Ukut%20Skuunat.pdf,,,TRUE,
Bashful Eyes,Qikitat Iingalat,Alisha Drabek,http://www.alutiiqlanguage.org/files/lessons/Songs/Qikitaq.mp3,,http://www.alutiiqlanguage.org/files/lessons/Songs/Qikitaq.pdf,,,TRUE,
Tonight,Unuku,Larry Matfay,http://www.alutiiqlanguage.org/files/lessons/Songs/UnukuPractice&Song.mp3,https://vimeo.com/109849485,http://www.alutiiqlanguage.org/files/lessons/Songs/Unuku-Tonight.pdf,,,TRUE,
Alphabet Song,Aapit Atuun,"Kathy Nelson, John 'JP' Pestrikoff",http://www.alutiiqlanguage.org/files/lessons/Songs/Aapit%20Atuun.mp3,https://vimeo.com/109754342,http://www.alutiiqlanguage.org/files/lessons/Songs/AapitAtuun.pdf,,,FALSE,
Alutiiq Ice Cream,Akutaq,Phyllis Peterson,,https://www.youtube.com/watch?v=-sna3smPkHw&feature=youtu.be,,,,FALSE,
Alaska Flag Song,Alas'kaam Flagaa,"April Laktonen Counceller, Florence Pestrikoff, Nick Alokli, Susan Malutin",http://www.alutiiqlanguage.org/files/lessons/Songs/Alas'kaamFlagaa.mp3,https://vimeo.com/114371820,http://www.alutiiqlanguage.org/files/lessons/Songs/Alas'kaamFlagaa.pdf,,,FALSE,
Whaler Song,Arwam Atuutii,Loren Anderson,http://www.alutiiqlanguage.org/files/Songs/18%20WhalerDANCERSCD.mp3,https://vimeo.com/109754343,http://www.alutiiqlanguage.org/files/Songs/Arwam%20Atuutii.pdf,,,FALSE,
Bucking the Waves,Asgurluta,,,https://vimeo.com/109754344,http://www.alutiiqlanguage.org/files/Songs/Asgurluta.pdf,,,FALSE,
Happy and You Know it,Atgurt'skut,Peter Squartsoff,http://www.alutiiqlanguage.org/files/Songs/Happy%20and%20you%20know%20it.mp3,,http://www.alutiiqlanguage.org/files/Songs/Happy%20and%20you%20know%20it.pdf,,,FALSE,
Good Morning,Cama'I Unuarpak,Teri Schneider,http://www.alutiiqlanguage.org/files/lessons/Songs/Camai%20Unuarpak.mp3,,http://www.alutiiqlanguage.org/files/lessons/Songs/Cama'i%20Unuarpak.pdf,,,FALSE,
Thank You,Quyanaa,Academy of Alutiiq Elders,,,http://www.alutiiqlanguage.org/files/Songs/Quyanaa.pdf,"Thank you, thank you Thank you [that] you all came. We are happy, we are happy. We are happy [that] you all came. [chanting] We are proudly happy ","Quyanaa, Quyanaa, Quyanaa, tailuci. Silugtukut, silugtukut, Silugtukut tailuci. Ayangaa, ayangaa, ayangaa Silugtukut.",FALSE,
In Kodiak,Sun'ami,Nina Olsen,,,,"In Kodiak, like those who came from a long time ago! We are dancing we are dancing! We are singing we are singing! We are having fun!","Sun'ami cumillat'stun taiyukut. Agnguarluta, agnguarluta. Aturluta, aturluta. Nunaniqsaagluta  ",FALSE,
My Drum,Cauyaqa,Loren Anderson,,,http://www.alutiiqlanguage.org/files/lessons/Songs/Cauyaqa%20Gui%20Ikuk'gka%20lyrics.pdf,My drum. I found it. Come [all]. To listen to it. My dance. I found it. Let's go! Come join us. We did not travel far. We did not travel. We found them inside ourselves. It was always in our hearts. Our ancestors are happy.,Cauyaqa hey ya hey ya. Gui ikuk'gka nga hey ya. Tailuci hey ya hey ya. Nit'niqlluku nga hey ya. Agnguaqa hey ya hey ya. Gui ikuk'gka  nga hey ya. Kita-ruq! ilag'rutlluta. Natmen agyagetllianga yaqwanun. Natmen agunilliakut hey ya hey ya. Guanguptni ilumpt'ni ikukpet qangiq. Unguatumni et'llia. Guanguta cumillallpet silugtut!,FALSE,"This song was written by Loren Anderson. It is a story about a lost drum, and when finding it, realizing that the music had been inside them all along. Featured on the Generations CD by the Alutiiq Museum, Track 19. Loren grew up near Seattle, Washington. In Washington, he had very little exposure to his Sugpiat heritage. When he moved to Alaska, he began working at the Alaska Native Heritage Center, where he learned more about his culture. He also joined an Alutiiq dance group called the Alutiiq Anguyiit or the Alutiiq Warriors. Cauyaqa Gwi Ikuk'gka is the first song Loren wrote, and it's about metaphorically finding his drum. The drum represents his entire Alutiiq heritage, and he had found that his culture has always been within him."
